commodity_exports,year_1990_2023
Almonds,79306665868
"Beef and veal, fresh/frozen",129907899786
Beverages excluding juice,47886644856
"Chickens, fresh/frozen",78591290905
Corn,278243809959
"Cotton, excluding linters",141682188096
Essential oils,40509897007
Miscellaneous horticultural products,107537694418
Other feeds and fodder,137863030910
Other grain products,77602043892
Other vegetable oils/waxes,39837821801
"Other vegetables, prepared/preserved",37804911024
"Pork, fresh/frozen",92965220088
"Rice-paddy, milled",48827490747
"Seeds, field/garden",36622923080
Soybean meal,97876527182
Soybeans,446615687614
"Tobacco, manufactured",64575388641
"Wheat, unmilled",197042420526
