year,total_imports,total_exports,trade_balance,percent_change
2023,164277576198,146052896429,-18224679769,-11.09
2022,161968693026,158511428827,-3457264199,-2.13
2021,135504248939,138610203261,3105954322,2.29
2020,118774461696,109883640656,-8890821040,-7.49
2019,117796503566,108713424360,-9083079206,-7.71
2018,112699376908,116948305355,4248928447,3.77
2017,106058890364,115613289477,9554399113,9.01
2016,100908961277,107137787663,6228826386,6.17
2015,101664879781,115918896995,14254017214,14.02
2014,96823001620,125041835418,28218833798,29.14
2013,93160486483,114470983401,21310496918,22.88
2012,90595765128,112724658270,22128893142,24.43
2011,80642488256,110754759462,30112271206,37.34
2010,69085178353,87661575508,18576397155,26.89
2009,65292736858,77292073706,11999336848,18.38
2008,71072509425,90991523056,19919013631,28.03
2007,63981624148,67669834414,3688210266,5.76
2006,58839853340,57612782351,-1227070989,-2.09
2005,52631148911,52291468556,-339680355,-0.65
2004,48033126212,52396326975,4363200763,9.08
2003,42031182750,47727882495,5696699745,13.55
2002,38253903803,44773575066,6519671263,17.04
2001,36264706693,46331810794,10067104101,27.76
2000,35309614616,45106280402,9796665786,27.75
1999,33521110199,43010269620,9489159421,28.31
1998,32014527746,47650044942,15635517196,48.84
1997,30314983583,50718252169,20403268586,67.30
1996,27189557416,52967745725,25778188309,94.81
1995,25190260385,48824876877,23634616492,93.82
1994,23075572208,40234554871,17158982663,74.36
1993,21526641302,37953025877,16426384575,76.31
1992,21310109620,38659052594,17348942974,81.41
1991,19710805212,36517667929,16806862717,85.27
1990,19668193564,37672157360,18003963796,91.54
